ID_station;nom_station;adresse_station;latitude_WSG84;longitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations
59230002;E.LECLERC Saint-Amand-les-Eaux;ZA DU MONT DES BRUYERES ROCADE NORD;50,4364;3,43265;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
86500002;E.LECLERC Montmorillon;2 AVENUE DE PROVENCE;46,4186;0,85426;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
22104001;E.LECLERC Dinan;La Coulebart;48,455;-2,04787;SIPLEC;Accélérée;3;T3 et EF;01/10/2014;
59270002;E.LECLERC Bailleul;Avenue des Nations Unies;50,7236;2,74001;SIPLEC;Accélérée;3;T3 et EF;01/10/2014;
71100022;E.LECLERC Lux;27 rue charles dumoulin;46,7516;4,84933;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
33167001;E.LECLERC Saint-Médard-en-Jalles;34, Avenue Descartes;44,8842;-0,69089;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
77820003;E.LECLERC Le-Châtelet-en-Brie;Lieu-Dit les Grands Champs;48,4916;2,79575;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
64200006;E.LECLERC Biarritz;Zone d'Iraty;43,4629;-1,54237;SIPLEC;Accélérée;3;T3 et EF;01/10/2014;
60330002;E.LECLERC Le Plessis-Belleville;Centre Commercial du Lièvre RN 2;49,0983;2,75557;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
92500B01;E.LECLERC Rueil Malmaison;58 avenue de Fouilleuse;48,8623;2,19368;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
95570003;E.LECLERC Moisselles;Route Nationale 1;49,0412;2,3422;SIPLEC;Accélérée;3;T3 et EF;01/10/2014;
76700005;E.LECLERC Gonfreville-l'Orcher;parc de l'estuaire;49,5094;0,22551;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
35770001;E.LECLERC Vern sur seiche;Rue de l'Orson;48,0633;-1,62036;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
76176001;E.LECLERC Rouen;AVENUE DE BRETAGNE;49,4318;1,08293;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
85340003;E.LECLERC Olonne-sur-Mer;87 Avenue François Mitterand;46,5182;-1,77586;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
22190001;E.LECLERC Plérin;Zac du Plateau;48,5345;-2,76045;SIPLEC;Accélérée;4;T3 et EF;01/10/2014;
56600001;E.LECLERC Lanester;1 Rue François Mauriac;47,7654;-3,34849;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
83700004;E.LECLERC Saint-Raphaël;Boulevard de l'Aspé;43,4328;6,80672;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
56670003;E.LECLERC Riantec;lann er velin;47,7255;-3,32223;SIPLEC;Accélérée;3;T3 et EF;01/10/2014;
29300002;E.LECLERC Quimperlé;Rue du Pont Aven;47,8706;-3,56723;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
44190006;E.LECLERC Clisson;ROUTE DE NANTES;47,0968;-1,28172;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
29403001;E.LECLERC Landivisiau;Boulevard de la République;48,504;-4,07323;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
26140005;E.LECLERC A7 Saint-Rambert d'Albon;Aire de Saint Rambert d'Albon;45,2993;4,81447;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
3410008;E.LECLERC Domérat;Rue de la Chevêche;46,367;2,56526;SIPLEC;Accélérée;2;T3 et EF;01/10/2014;
59541B01;E.LECLERC Cambrai;3 rue du chateau de selles;50,1821;3,22778;SIPLEC;Accélérée;1;T3 et EF;01/10/2014;
