ID_station;nom_station;adresse_station;longitude_WSG84;latitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observation
REN028;ETABLISSEMENT RENAULT DE LEZIGNAN-CORBIERES;;43,200472;2,769645;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN029;ETABLISSEMENT RENAULT DE CASTELNAUDARY;;43,310800;1,970104;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN030;ETABLISSEMENT RENAULT DE ONET-LE-CHATEAU;;44,377340;2,593146;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN031;ETABLISSEMENT RENAULT DE MILLAU;;44,091999;3,065403;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN032;ETABLISSEMENT RENAULT DE VILLEFRANCHE-DE-ROUERGUE;;44,360410;2,001821;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN033;ETABLISSEMENT RENAULT DE MARSEILLE;;43,265693;5,394565;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN034;ETABLISSEMENT RENAULT DE AIX-EN-PROVENCE;;43,524887;5,427438;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN035;ETABLISSEMENT RENAULT DE GARDANNE;;43,448522;5,445610;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN036;ETABLISSEMENT RENAULT DE VITROLLES;;43,431082;5,265128;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN037;ETABLISSEMENT RENAULT DE ARLES;;43,707966;4,639134;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN038;ETABLISSEMENT RENAULT DE SALON-DE-PROVENCE;;43,633197;5,097885;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN039;ETABLISSEMENT RENAULT DE AUBAGNE;;43,287867;5,584146;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN040;ETABLISSEMENT RENAULT DE SAINT-VICTORET;;43,417992;5,228247;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN041;ETABLISSEMENT RENAULT DE ISTRES;;43,499492;4,985515;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN042;ETABLISSEMENT RENAULT DE LISIEUX;;49,165519;0,219060;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN043;ETABLISSEMENT RENAULT DE HEROUVILLE-SAINT-CLAIR;;49,209081;-0,341858;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN044;ETABLISSEMENT RENAULT DE BAYEUX;;49,271072;-0,700084;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN045;ETABLISSEMENT RENAULT DE VIRE;;48,868021;-0,871365;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN046;ETABLISSEMENT RENAULT DE DEAUVILLE;;49,353727;0,090580;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN047;ETABLISSEMENT RENAULT DE AURILLAC;;44,916354;2,460678;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN048;ETABLISSEMENT RENAULT DE ANGOULEME;;45,660340;0,165695;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN049;ETABLISSEMENT RENAULT DE COGNAC;;45,687442;-0,311642;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN050;ETABLISSEMENT RENAULT DE LA ROCHELLE;;46,153721;-1,115820;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN051;ETABLISSEMENT RENAULT DE SAINTES;;45,746077;-0,664326;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN052;ETABLISSEMENT RENAULT DE ROCHEFORT;;45,933294;-0,966677;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN053;ETABLISSEMENT RENAULT DE BOURGES;;47,109701;2,413593;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN054;ETABLISSEMENT RENAULT DE TULLE;;45,249929;1,750181;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN055;ETABLISSEMENT RENAULT DE BRIVE-LA-GAILLARDE;;45,147622;1,482943;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
