n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
A Cheda;A Cheda;TESLA Recharge à Destination;;A Cheda;Cavallo Morto, Bonifacio,  20169 France;2A041;9.170151;41.405677;4;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
A L'Ecole Buissonière;A L'Ecole Buissonière;TESLA Recharge à Destination;;A L'Ecole Buissonière;4 Rue de la Foulerie, Honfleur,  14600 France;14041;0.231656;49.419542;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
A L'Ecole Buissonière;A L'Ecole Buissonière;TESLA Recharge à Destination;;A L'Ecole Buissonière;4 Rue de la Foulerie, Honfleur,  14600 France;14041;0.231656;49.419542;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aa Saint-Omer Golf Club;Aa Saint-Omer Golf Club;TESLA Recharge à Destination;;Aa Saint-Omer Golf Club;Chemin des bois , Acquin-Westbécourt, Nord-Pas-de-Calais 62380 France;62495;2.088399;50.712398;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche ;TESLA Recharge à Destination;;Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche , La Bussiere sur Ouche ,  21360 France;21631;4.724196;47.215767;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche ;TESLA Recharge à Destination;;Abbaye de Bussiere sur Ouche ;Abbaye de Bussiere sur Ouche , La Bussiere sur Ouche ,  21360 France;21631;4.724196;47.215767;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Abbaye de Talloires;Abbaye de Talloires;TESLA Recharge à Destination;;Abbaye de Talloires;Chemin des Moines, Talloires-Montmin,  74290  France;74299;6.211284;45.840824;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Abbaye de Talloires;Abbaye de Talloires;TESLA Recharge à Destination;;Abbaye de Talloires;Chemin des Moines, Talloires-Montmin,  74290  France;74299;6.211284;45.840824;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aigle des Neiges Hotel;Aigle des Neiges Hotel;TESLA Recharge à Destination;;Aigle des Neiges Hotel;Rue de la Poste, Val d'Isère,  73150 France;73304;6.980832;45.447612;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Altapura;Altapura;TESLA Recharge à Destination;;Altapura;Rue du Bouchet , Val Thorens,  73440 France;73257;6.57461;45.297283;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Altapura;Altapura;TESLA Recharge à Destination;;Altapura;Rue du Bouchet , Val Thorens,  73440 France;73257;6.57461;45.297283;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Alyse Parc Auto;Alyse Parc Auto;TESLA Recharge à Destination;;Alyse Parc Auto;Les Blaches, Grenay,  38540 France;38189;5.0793806;45.6716548;4;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Alyse Parc Auto;Alyse Parc Auto;TESLA Recharge à Destination;;Alyse Parc Auto;Les Blaches, Grenay,  38540 France;38189;5.0793806;45.6716548;4;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Alyse Parc Auto;Alyse Parc Auto;TESLA Recharge à Destination;;Alyse Parc Auto;Les Blaches, Grenay,  38540 France;38189;5.0793806;45.6716548;4;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Alyse Parc Auto;Alyse Parc Auto;TESLA Recharge à Destination;;Alyse Parc Auto;Les Blaches, Grenay,  38540 France;38189;5.0793806;45.6716548;4;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aparthotel Adagio Genève Saint Genis Pouilly;Aparthotel Adagio Genève Saint Genis Pouilly;TESLA Recharge à Destination;;Aparthotel Adagio Genève Saint Genis Pouilly;67, avenue du Mont Blanc, Thoiry,  01710 France;1419;6.008802;46.236203;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aparthotel Adagio Genève Saint Genis Pouilly;Aparthotel Adagio Genève Saint Genis Pouilly;TESLA Recharge à Destination;;Aparthotel Adagio Genève Saint Genis Pouilly;67, avenue du Mont Blanc, Thoiry,  01710 France;1419;6.008802;46.236203;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Arcs 1950 Le Village - Parking;Arcs 1950 Le Village - Parking;TESLA Recharge à Destination;;Arcs 1950 Le Village - Parking;Le Village Arc 1950, D119, Bourg-Saint-Maurice,  73700 France;73176;6.828509;45.573637;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Arcs 1950 Le Village - Parking;Arcs 1950 Le Village - Parking;TESLA Recharge à Destination;;Arcs 1950 Le Village - Parking;Le Village Arc 1950, D119, Bourg-Saint-Maurice,  73700 France;73176;6.828509;45.573637;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Arcs 1950 Le Village - Parking;Arcs 1950 Le Village - Parking;TESLA Recharge à Destination;;Arcs 1950 Le Village - Parking;Le Village Arc 1950, D119, Bourg-Saint-Maurice,  73700 France;73176;6.828509;45.573637;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Atmosphères Hôtel;Atmosphères Hôtel;TESLA Recharge à Destination;;Atmosphères Hôtel;618 route des Tournelles, Le Bourget du Lac,  73370 France;73051;5.852393;45.660555;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Atmosphères Hôtel;Atmosphères Hôtel;TESLA Recharge à Destination;;Atmosphères Hôtel;618 route des Tournelles, Le Bourget du Lac,  73370 France;73051;5.852393;45.660555;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Au Grès des Ouches;Au Grès des Ouches;TESLA Recharge à Destination;;Au Grès des Ouches;2 Grande Rue, Morogues,  18220 France;18156;2.598172;47.240838;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Au Grès des Ouches;Au Grès des Ouches;TESLA Recharge à Destination;;Au Grès des Ouches;2 Grande Rue, Morogues,  18220 France;18156;2.598172;47.240838;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Au Pont Tournant;Au Pont Tournant;TESLA Recharge à Destination;;Au Pont Tournant;30 route de Bergues, Bierne,  59380 France;59657;2.422427;50.970619;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Au Pont Tournant;Au Pont Tournant;TESLA Recharge à Destination;;Au Pont Tournant;30 route de Bergues, Bierne,  59380 France;59657;2.422427;50.970619;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Au Pont Tournant;Au Pont Tournant;TESLA Recharge à Destination;;Au Pont Tournant;30 route de Bergues, Bierne,  59380 France;59657;2.422427;50.970619;3;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Bienvenue;Auberge Bienvenue;TESLA Recharge à Destination;;Auberge Bienvenue;104 Route de Cholet, Doué-la-Fontaine,  49700 France;49047;-0.296833;47.191399;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Bienvenue;Auberge Bienvenue;TESLA Recharge à Destination;;Auberge Bienvenue;104 Route de Cholet, Doué-la-Fontaine,  49700 France;49047;-0.296833;47.191399;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Bienvenue;Auberge Bienvenue;TESLA Recharge à Destination;;Auberge Bienvenue;104 Route de Cholet, Doué-la-Fontaine,  49700 France;49047;-0.296833;47.191399;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Bressane de Buellas;Auberge Bressane de Buellas;TESLA Recharge à Destination;;Auberge Bressane de Buellas;10 Route de Buesle, Buellas,  01310 France;1264;5.133143;46.209502;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Bressane de Buellas;Auberge Bressane de Buellas;TESLA Recharge à Destination;;Auberge Bressane de Buellas;10 Route de Buesle, Buellas,  01310 France;1264;5.133143;46.209502;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge de Cassagne & Spa ;Auberge de Cassagne & Spa ;TESLA Recharge à Destination;;Auberge de Cassagne & Spa ;450 Allée de Cassagne, Le Pontet, Provence-Alpes-Côte d'Azur 84130 France;84092;4.874059;43.960814;1;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge de la Petite Reine;Auberge de la Petite Reine;TESLA Recharge à Destination;;Auberge de la Petite Reine;Lieu dit petit campagne Route De Belvès D710, Siorac-en-Périgord,  24170 France;24416;0.99584;44.814653;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge de la Petite Reine;Auberge de la Petite Reine;TESLA Recharge à Destination;;Auberge de la Petite Reine;Lieu dit petit campagne Route De Belvès D710, Siorac-en-Périgord,  24170 France;24416;0.99584;44.814653;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge de la Petite Reine;Auberge de la Petite Reine;TESLA Recharge à Destination;;Auberge de la Petite Reine;Lieu dit petit campagne Route De Belvès D710, Siorac-en-Périgord,  24170 France;24416;0.99584;44.814653;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge du Lac;Auberge du Lac;TESLA Recharge à Destination;;Auberge du Lac;Le Ternay, St Marcel Les Annonay,  07100 France;7265;4.644028;45.300146;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge du Lac;Auberge du Lac;TESLA Recharge à Destination;;Auberge du Lac;Le Ternay, St Marcel Les Annonay,  07100 France;7265;4.644028;45.300146;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge du Lac;Auberge du Lac;TESLA Recharge à Destination;;Auberge du Lac;Le Ternay, St Marcel Les Annonay,  07100 France;7265;4.644028;45.300146;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge du Mehrbächel;Auberge du Mehrbächel;TESLA Recharge à Destination;;Auberge du Mehrbächel;72 Mehrbachel, Saint-Amarin,  68550 France;68292;7.046411;47.89204;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge du Mehrbächel;Auberge du Mehrbächel;TESLA Recharge à Destination;;Auberge du Mehrbächel;72 Mehrbachel, Saint-Amarin,  68550 France;68292;7.046411;47.89204;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge du Mehrbächel;Auberge du Mehrbächel;TESLA Recharge à Destination;;Auberge du Mehrbächel;72 Mehrbachel, Saint-Amarin,  68550 France;68292;7.046411;47.89204;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge du Vieux Puits;Auberge du Vieux Puits;TESLA Recharge à Destination;;Auberge du Vieux Puits;15 Avenue Alexandre Dumas, Dieppe,  76200 France;76217;1.108794;49.935292;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge du Vieux Puits;Auberge du Vieux Puits;TESLA Recharge à Destination;;Auberge du Vieux Puits;15 Avenue Alexandre Dumas, Dieppe,  76200 France;76217;1.108794;49.935292;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Edelweiss;Auberge Edelweiss;TESLA Recharge à Destination;;Auberge Edelweiss;Rue du Grand Chemin, La Grave,  05320 France;5063;6.306876;45.046196;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Edelweiss;Auberge Edelweiss;TESLA Recharge à Destination;;Auberge Edelweiss;Rue du Grand Chemin, La Grave,  05320 France;5063;6.306876;45.046196;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Ostapé;Auberge Ostapé;TESLA Recharge à Destination;;Auberge Ostapé;Chahatoenia, Bidarray,  64780 France;64124;-1.361926;43.289603;2;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Ostapé;Auberge Ostapé;TESLA Recharge à Destination;;Auberge Ostapé;Chahatoenia, Bidarray,  64780 France;64124;-1.361926;43.289603;2;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Sundgovienne;Auberge Sundgovienne;TESLA Recharge à Destination;;Auberge Sundgovienne;1 Route de Belfort, Carspach,  68130 France;68010;7.200748;47.629907;4;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Sundgovienne;Auberge Sundgovienne;TESLA Recharge à Destination;;Auberge Sundgovienne;1 Route de Belfort, Carspach,  68130 France;68010;7.200748;47.629907;4;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Auberge Sundgovienne;Auberge Sundgovienne;TESLA Recharge à Destination;;Auberge Sundgovienne;1 Route de Belfort, Carspach,  68130 France;68010;7.200748;47.629907;4;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Auberge Sundgovienne;Auberge Sundgovienne;TESLA Recharge à Destination;;Auberge Sundgovienne;1 Route de Belfort, Carspach,  68130 France;68010;7.200748;47.629907;4;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Aux Terrasses;Aux Terrasses;TESLA Recharge à Destination;;Aux Terrasses;18 Avenue du 23 janvier, Tournus,  71700 France;71353;4.914341;46.559022;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Aux Terrasses;Aux Terrasses;TESLA Recharge à Destination;;Aux Terrasses;18 Avenue du 23 janvier, Tournus,  71700 France;71353;4.914341;46.559022;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Avancher Hôtel & Lodge, Restaurant & Bar;Avancher Hôtel & Lodge, Restaurant & Bar;TESLA Recharge à Destination;;Avancher Hôtel & Lodge, Restaurant & Bar;Avenue du Prariond, Val-d'Isère,  73150 France;73304;6.986112;45.446745;4;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Avancher Hôtel & Lodge, Restaurant & Bar;Avancher Hôtel & Lodge, Restaurant & Bar;TESLA Recharge à Destination;;Avancher Hôtel & Lodge, Restaurant & Bar;Avenue du Prariond, Val-d'Isère,  73150 France;73304;6.986112;45.446745;4;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Avancher Hôtel & Lodge, Restaurant & Bar;Avancher Hôtel & Lodge, Restaurant & Bar;TESLA Recharge à Destination;;Avancher Hôtel & Lodge, Restaurant & Bar;Avenue du Prariond, Val-d'Isère,  73150 France;73304;6.986112;45.446745;4;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Avancher Hôtel & Lodge, Restaurant & Bar;Avancher Hôtel & Lodge, Restaurant & Bar;TESLA Recharge à Destination;;Avancher Hôtel & Lodge, Restaurant & Bar;Avenue du Prariond, Val-d'Isère,  73150 France;73304;6.986112;45.446745;4;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
B&B Hôtel Lyon Eurexpo Chassieu;B&B Hôtel Lyon Eurexpo Chassieu;TESLA Recharge à Destination;;B&B Hôtel Lyon Eurexpo Chassieu;2 Rue Augustin Fresnel, Chassieu,  69680 France;69271;4.969615;45.724388;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
B&B Hôtel Lyon Eurexpo Chassieu;B&B Hôtel Lyon Eurexpo Chassieu;TESLA Recharge à Destination;;B&B Hôtel Lyon Eurexpo Chassieu;2 Rue Augustin Fresnel, Chassieu,  69680 France;69271;4.969615;45.724388;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
B&B Hôtel Lyon Eurexpo Chassieu;B&B Hôtel Lyon Eurexpo Chassieu;TESLA Recharge à Destination;;B&B Hôtel Lyon Eurexpo Chassieu;2 Rue Augustin Fresnel, Chassieu,  69680 France;69271;4.969615;45.724388;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Bastide Selva - Maison d'Hôtes;Bastide Selva - Maison d'Hôtes;TESLA Recharge à Destination;;Bastide Selva - Maison d'Hôtes;125 Chemin de l'Olivierede, Quartier Saint-Clement, La Garde Freinet,  83680 France;83063;6.476349;43.309531;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Bastide Selva - Maison d'Hôtes;Bastide Selva - Maison d'Hôtes;TESLA Recharge à Destination;;Bastide Selva - Maison d'Hôtes;125 Chemin de l'Olivierede, Quartier Saint-Clement, La Garde Freinet,  83680 France;83063;6.476349;43.309531;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Baumanière les Baux de Provence;Baumanière les Baux de Provence;TESLA Recharge à Destination;;Baumanière les Baux de Provence;Mas Baumanière, Les Baux-de-Provence,  13520 France;13058;4.789558;43.739636;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Baumanière les Baux de Provence;Baumanière les Baux de Provence;TESLA Recharge à Destination;;Baumanière les Baux de Provence;Mas Baumanière, Les Baux-de-Provence,  13520 France;13058;4.789558;43.739636;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Belle Isle sur Risle;Belle Isle sur Risle;TESLA Recharge à Destination;;Belle Isle sur Risle;112 Route de Rouen, Pont-Audemer,  27500 France;27645;0.539526;49.353739;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Belle Isle sur Risle;Belle Isle sur Risle;TESLA Recharge à Destination;;Belle Isle sur Risle;112 Route de Rouen, Pont-Audemer,  27500 France;27645;0.539526;49.353739;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Benvengudo Hôtel Restaurant;Benvengudo Hôtel Restaurant;TESLA Recharge à Destination;;Benvengudo Hôtel Restaurant;Vallon de l'Arcoule, Les Baux de Provence,  13520 France;13058;4.783636;43.735417;3;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Benvengudo Hôtel Restaurant;Benvengudo Hôtel Restaurant;TESLA Recharge à Destination;;Benvengudo Hôtel Restaurant;Vallon de l'Arcoule, Les Baux de Provence,  13520 France;13058;4.783636;43.735417;3;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Benvengudo Hôtel Restaurant;Benvengudo Hôtel Restaurant;TESLA Recharge à Destination;;Benvengudo Hôtel Restaurant;Vallon de l'Arcoule, Les Baux de Provence,  13520 France;13058;4.783636;43.735417;3;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Best Western Amarys Rambouillet;Best Western Amarys Rambouillet;TESLA Recharge à Destination;;Best Western Amarys Rambouillet;73 Rue de la Louvière, Rambouillet,  78120 France;78601;1.845763;48.644737;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Best Western Amarys Rambouillet;Best Western Amarys Rambouillet;TESLA Recharge à Destination;;Best Western Amarys Rambouillet;73 Rue de la Louvière, Rambouillet,  78120 France;78601;1.845763;48.644737;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Best Western Golf Hôtel Lacanau;Best Western Golf Hôtel Lacanau;TESLA Recharge à Destination;;Best Western Golf Hôtel Lacanau;Chemin des Gemmeurs, Lacanau,  33680 France;33214;-1.1709;45.001141;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Best Western Golf Hôtel Lacanau;Best Western Golf Hôtel Lacanau;TESLA Recharge à Destination;;Best Western Golf Hôtel Lacanau;Chemin des Gemmeurs, Lacanau,  33680 France;33214;-1.1709;45.001141;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Best Western Grand Hôtel de Bordeaux;Best Western Grand Hôtel de Bordeaux;TESLA Recharge à Destination;;Best Western Grand Hôtel de Bordeaux;2  Avenue de la République, Aurillac,  15000 France;15014;2.442122;44.928131;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Best Western Grand Hôtel de Bordeaux;Best Western Grand Hôtel de Bordeaux;TESLA Recharge à Destination;;Best Western Grand Hôtel de Bordeaux;2  Avenue de la République, Aurillac,  15000 France;15014;2.442122;44.928131;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Best Western Grand Hôtel de Bordeaux;Best Western Grand Hôtel de Bordeaux;TESLA Recharge à Destination;;Best Western Grand Hôtel de Bordeaux;2  Avenue de la République, Aurillac,  15000 France;15014;2.442122;44.928131;3;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Best Western Hotel Alexandra;Best Western Hotel Alexandra;TESLA Recharge à Destination;;Best Western Hotel Alexandra;138 Boulevard Hebert  , Saint Malo,  35400 France;35288;-2.001313;48.657144;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Best Western Hotel Alexandra;Best Western Hotel Alexandra;TESLA Recharge à Destination;;Best Western Hotel Alexandra;138 Boulevard Hebert  , Saint Malo,  35400 France;35288;-2.001313;48.657144;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
