n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33173*001;FRANCS - Mairie;Mairie 33570 FRANCS;33173;-0,007033316;44,94543258;2;FR*S33*E33173*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33213*001;LA BREDE - Parking De La Brédinière;Parking De La Brédinière 33650 LA BREDE;33213;-0,53108945;44,67978328;2;FR*S33*E33213*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33213*001;LA BREDE - Parking De La Brédinière;Parking De La Brédinière 33650 LA BREDE;33213;-0,53108945;44,67978328;2;FR*S33*E33213*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33199*001;GUJAN-MESTRAS - Parking Mairie;Parking Mairie 33470 GUJAN-MESTRAS;33199;-1,07150607;44,63571701;2;FR*S33*E33199*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33199*001;GUJAN-MESTRAS - Parking Mairie;Parking Mairie 33470 GUJAN-MESTRAS;33199;-1,07150607;44,63571701;2;FR*S33*E33199*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33227*003;LANGON - Place  De La Mairie;Place  De La Mairie 33210 LANGON;33227;-0,245125;44,553132;2;FR*S33*E33227*003*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33227*003;LANGON - Place  De La Mairie;Place  De La Mairie 33210 LANGON;33227;-0,245125;44,553132;2;FR*S33*E33227*003*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33274*002;MARTILLAC - Parking Site Montesquieu  - Allée Rostand;Parking Site Montesquieu  - Allée Rostand 33650 MARTILLAC;33274;-0,581216;44,712681;2;FR*S33*E33274*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33274*002;MARTILLAC - Parking Site Montesquieu  - Allée Rostand;Parking Site Montesquieu  - Allée Rostand 33650 MARTILLAC;33274;-0,581216;44,712681;2;FR*S33*E33274*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33380*001;SAINT CAPRAIS DE BLAYE - Parking De Ferchaud;Parking De Ferchaud 33820 SAINT CAPRAIS DE BLAYE;33380;-0,569408834;45,2911599;4;FR*S33*E33380*001*3;50;COMBO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33380*001;SAINT CAPRAIS DE BLAYE - Parking De Ferchaud;Parking De Ferchaud 33820 SAINT CAPRAIS DE BLAYE;33380;-0,569408834;45,2911599;4;FR*S33*E33380*001*4;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33380*001;SAINT CAPRAIS DE BLAYE - Parking De Ferchaud;Parking De Ferchaud 33820 SAINT CAPRAIS DE BLAYE;33380;-0,569408834;45,2911599;4;FR*S33*E33380*001*2;50;CHADEMO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33380*001;SAINT CAPRAIS DE BLAYE - Parking De Ferchaud;Parking De Ferchaud 33820 SAINT CAPRAIS DE BLAYE;33380;-0,569408834;45,2911599;4;FR*S33*E33380*001*1;43;T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33284*001;MIOS  - Avenue De La République (Mairie);Avenue De La République (Mairie) 33380 MIOS;33284;-0,93973875;44,60631955;2;FR*S33*E33284*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33284*001;MIOS  - Avenue De La République (Mairie);Avenue De La République (Mairie) 33380 MIOS;33284;-0,93973875;44,60631955;2;FR*S33*E33284*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33480*001;SAINT SULPICE DE FALEYRENS - Av Du General De Gaulle;Av Du General De Gaulle 33330 SAINT SULPICE DE FALEYRENS;33480;-0,190544128;44,87611867;2;FR*S33*E33480*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33480*001;SAINT SULPICE DE FALEYRENS - Av Du General De Gaulle;Av Du General De Gaulle 33330 SAINT SULPICE DE FALEYRENS;33480;-0,190544128;44,87611867;2;FR*S33*E33480*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33374*001;SAINT AUBIN DE BLAYE - Brasse Misere / Parking Pepiniere D Entreprise;Brasse Misere / Parking Pepiniere D Entreprise 33820 SAINT AUBIN DE BLAYE;33374;-0,557762682;45,24861975;2;FR*S33*E33374*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33374*001;SAINT AUBIN DE BLAYE - Brasse Misere / Parking Pepiniere D Entreprise;Brasse Misere / Parking Pepiniere D Entreprise 33820 SAINT AUBIN DE BLAYE;33374;-0,557762682;45,24861975;2;FR*S33*E33374*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33199*002;GUJAN-MESTRAS - Parking Docteur Bezian;Parking Docteur Bezian 33470 GUJAN-MESTRAS;33199;-1,060200506;44,63863111;2;FR*S33*E33199*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33199*002;GUJAN-MESTRAS - Parking Docteur Bezian;Parking Docteur Bezian 33470 GUJAN-MESTRAS;33199;-1,060200506;44,63863111;2;FR*S33*E33199*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33243*005;LIBOURNE - Rue Schwandorf - Dagueys;Rue Schwandorf - Dagueys 33500 LIBOURNE;33243;-0,244545043;44,94697507;4;FR*S33*E33243*005*3;50;COMBO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33243*005;LIBOURNE - Rue Schwandorf - Dagueys;Rue Schwandorf - Dagueys 33500 LIBOURNE;33243;-0,244545043;44,94697507;4;FR*S33*E33243*005*2;50;CHADEMO;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33243*005;LIBOURNE - Rue Schwandorf - Dagueys;Rue Schwandorf - Dagueys 33500 LIBOURNE;33243;-0,244545043;44,94697507;4;FR*S33*E33243*005*4;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33243*005;LIBOURNE - Rue Schwandorf - Dagueys;Rue Schwandorf - Dagueys 33500 LIBOURNE;33243;-0,244545043;44,94697507;4;FR*S33*E33243*005*1;43;T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33550*001;LANGOIRAN - Place De La Mairie;Place De La Mairie 33226 LANGOIRAN;33550;-0,400897;44,708164;2;FR*S33*E33550*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33550*001;LANGOIRAN - Place De La Mairie;Place De La Mairie 33226 LANGOIRAN;33550;-0,400897;44,708164;2;FR*S33*E33550*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
