ID_station;nom_station;adresse_station;latitude_WSG84;longitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observations;;;;
28;Parking EFFIA Gare d'Avignon centre ville;40 Boulevard Saint Roch 84000 AVIGNON;43.942309;4.805897;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/avignon-gare-centre-98;;;;
29;Parking EFFIA Gare de Cannes;1 Rue Jean Jaures 06400 CANNES;43.553688;7.020999;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/cannes-gare-sncf-99;;;;
30;Parking EFFIA Gare de Chambery;90 Avenue de Boisse 73000 CHAMBERY;45.571789;5.918946;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/chambery-gare-sncf-21;;;;
31;Parking EFFIA Gare de Clermont-Ferrand;17 Rue Pierre Sémard 63100 CLERMONT FERRAND;45.777492;3.102167;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/clermont-ferrand-gare-sncf-6;;;;
32;Parking EFFIA Gare de Vienne;3 rue Emile Romanet 38200 VIENNE;45.520992;4.872179;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/vienne-gare-sncf-155;;;;
33;Parking EFFIA Marseille Voltaire;13 Bld Voltaire 13001 MARSEILLE;43.302633;5.384225;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/marseille-st-charles-voltaire-1;;;;
34;Parking EFFIA Montpellier Arc de Triomphe;rue Foch 34000 MONTPELLIER;43.610956;3.874954;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/montpellier-arc-de-triomphe-152;;;;
35;Parking EFFIA Montreuil Mairie;5 Rue Franklin 93100 MONTREUIL;48.863454;2.444115;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/montreuil-mairie-258;;;;
36;Parking EFFIA Saint-Etienne Antonin Moine;Place Maxime Gorky 42000 SAINT ETIENNE;45.435844;4.391359;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/saint-etienne-parking-antonin-moine-276;;;;
37;Parking EFFIA Gare de Saint-Pierre des Corps;Place de la gare 37700 SAINT PIERRE DES CORPS;47.385647;0.721997;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/saint-pierre-des-corps-gare-sncf-22;;;;
38;Parking EFFIA Gare de Toulouse;4 bd Pierre Semard 31500 TOULOUSE;43.613364;1.452756;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/toulouse-gare-sncf-3;;;;
39;Parking EFFIA Gare de La Rochelle;Place Pierre Sémard 17000 LA ROCHELLE;46.152958;-1.146317;EFFIA;Normale ;4;E;17/03/2015;https://www.resaplace.com/fr/parking/la-rochelle-gare-sncf-45;;;;
40;Parking EFFIA Gare du Mans;6 Boulevard Robert Jarry 72000 LE MANS;47.996428;0.190142;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/le-mans-gare-sncf-14;;;;
41;Parking EFFIA Gare Nantes Sud 1;32 Rue de Lourmel 44000 NANTES;47.216261;-1.540961;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/nantes-gare-sud-1-26;;;;
42;Parking EFFIA Gare Nantes Sud 4;24 Mail Pablo Picasso 44000 NANTES;47.214764;-1.537563;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/nantes-gare-sud-4-227;;;;
43;Parking EFFIA Gare Nantes Nord;Bd Stalingrad 44000 NANTES;47.217883;-1.544485;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/nantes-gare-nord-131;;;;
44;Parking EFFIA Nantes Les Machines;10 rue Arthur III 44000 NANTES;47.205565;-1.561833;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/nantes-les-machines-leon-bureau-174;;;;
45;Parking EFFIA Gare de Poitiers;2 Bd Pont Achard 86000 POITIERS;46.581432;0.332587;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/poitiers-gare-sncf-18;;;;
46;Parking EFFIA Gare de Rennes;Boulevard Solférino 35000 RENNES;48.104164;-1.670336;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/rennes-gare-sncf-nord-5;;;;
47;Parking EFFIA Armagnac gare de Bordeaux;1 rue Armagnac 33800 BORDEAUX;44.82246;-0.555123;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/bordeaux-gare-sncf-armagnac-178;;;;
48;Parking EFFIA Gare de Lyon Perrache;Centre d'Echange 69002 LYON;45.748750;4.828684;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/lyon-gare-perrache-centre-d-echange-226;;;;
49;Parking EFFIA Gare de Lyon Villette;75, rue de la Villette 69003 LYON;45.758556;4.861965;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/lyon-villette-proche-part-dieu-225;;;;
50;Parking EFFIA Gare de Narbonne;90, boulevard Frédéric Mistral 11100 NARBONNE;43.190322;3.006104;EFFIA;Normale ;1;E;17/03/2015;https://www.resaplace.com/fr/parking/narbonne-gare-sncf-106;;;;
51;Parking EFFIA Gare de Saint-Etienne Chateaucreux;44, rue Ferdinand 42000 SAINT-ETIENNE;45.443544;4.397761;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/saint-etienne-gare-sncf-chateaucreux-134;;;;
52;Parking EFFIA Saint-Etienne Jaurčs;Place Jean Jaurčs 42000 SAINT-ETIENNE;45.440708;4.386518;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/saint-etienne-parking-jean-jaures-277;;;;
53;Parking EFFIA Saint-Etienne Fauriel;26, rue Ponchardier 42000 SAINT ETIENNE;45.427763;4.403677;EFFIA;Normale ;2;E;17/03/2015;https://www.resaplace.com/fr/parking/saint-etienne-parking-fauriel-275;;;;
54;Parking EFFIA Lille  République;;50.632267;3.060721;EFFIA;Normale ;3;E;17/03/2015;https://www.resaplace.com/fr/parking/lille-republique-230;;;;
