,ds,y
0,2010-12-31,187
1,2011-12-31,2630
2,2012-12-31,5661
3,2013-12-31,8781
4,2014-12-31,10567
5,2015-12-31,17269
6,2016-12-31,21758
7,2017-12-31,24910
8,2018-12-31,30945
9,2019-12-31,42262
