,ds,y
0,2010-12-31,0
1,2011-12-31,0
2,2012-12-31,27817
3,2013-12-31,46730
4,2014-12-31,43153
5,2015-12-31,60497
6,2016-12-31,58302
7,2017-12-31,81539
8,2018-12-31,106221
9,2019-12-31,125122
