,ds,y
0,2010-12-31,1556353
1,2011-12-31,1557403
2,2012-12-31,1345064
3,2013-12-31,1168193
4,2014-12-31,1119954
5,2015-12-31,1070443
6,2016-12-31,1027912
7,2017-12-31,978184
8,2018-12-31,824472
9,2019-12-31,736158
