,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
642,Meuse,2012,863.0,222.0,83.0,9.0,34.0,1554.0,1841.0,12.0,4.0,8.0,4659.0,29.0
643,Meuse,2013,830.0,222.0,79.0,48.0,2.0,1476.0,1513.0,1.0,5.0,33.0,4240.0,31.0
644,Meuse,2014,850.0,263.0,79.0,39.0,5.0,1366.0,1440.0,3.0,4.0,10.0,4086.0,27.0
645,Meuse,2015,1056.0,362.0,115.0,36.0,5.0,1103.0,1357.0,1.0,1.0,32.0,4099.0,31.0
646,Meuse,2016,1089.0,484.0,163.0,64.0,22.0,1064.0,1325.0,1.0,0.0,37.0,4265.0,15.0
647,Meuse,2017,1168.0,651.0,199.0,127.0,32.0,884.0,1301.0,0.0,1.0,55.0,4420.0,2.0
648,Meuse,2018,1463.0,830.0,209.0,165.0,40.0,692.0,1238.0,0.0,3.0,63.0,4707.0,4.0
649,Meuse,2019,1377.0,758.0,255.0,135.0,79.0,551.0,1267.0,1.0,2.0,82.0,4516.0,9.0
650,Morbihan,2010,4634.0,818.0,307.0,66.0,23.0,8115.0,7080.0,806.0,1.0,0.0,21851.0,0.0
651,Morbihan,2011,4523.0,943.0,291.0,121.0,12.0,6954.0,7898.0,132.0,2.0,9.0,20885.0,0.0
652,Morbihan,2012,3692.0,909.0,295.0,36.0,166.0,5461.0,6896.0,19.0,1.0,20.0,17551.0,56.0
653,Morbihan,2013,4316.0,1149.0,303.0,315.0,15.0,5076.0,5747.0,17.0,11.0,83.0,17133.0,83.0
654,Morbihan,2014,4967.0,1261.0,292.0,304.0,28.0,4899.0,5275.0,14.0,3.0,84.0,17181.0,50.0
655,Morbihan,2015,5700.0,1851.0,504.0,341.0,46.0,4264.0,5236.0,7.0,3.0,115.0,18188.0,118.0
656,Morbihan,2016,5782.0,2610.0,706.0,417.0,157.0,3594.0,5093.0,1.0,0.0,236.0,18635.0,37.0
657,Morbihan,2017,6243.0,3590.0,962.0,725.0,174.0,3052.0,5165.0,7.0,3.0,265.0,20206.0,18.0
658,Morbihan,2018,7730.0,4277.0,1007.0,1006.0,291.0,2246.0,4672.0,11.0,15.0,246.0,21531.0,27.0
659,Morbihan,2019,7626.0,3830.0,1315.0,764.0,408.0,1831.0,4804.0,9.0,5.0,355.0,21074.0,115.0
660,Moselle,2010,6557.0,1706.0,813.0,86.0,40.0,12858.0,12916.0,955.0,0.0,2.0,35934.0,0.0
661,Moselle,2011,6434.0,1933.0,930.0,140.0,19.0,11617.0,14199.0,159.0,3.0,41.0,35475.0,0.0
662,Moselle,2012,5335.0,1863.0,765.0,48.0,176.0,8658.0,11711.0,13.0,4.0,82.0,28810.0,148.0
663,Moselle,2013,6043.0,1988.0,669.0,358.0,45.0,7654.0,8964.0,17.0,10.0,113.0,26083.0,217.0
664,Moselle,2014,6602.0,2356.0,762.0,301.0,53.0,7538.0,8232.0,26.0,13.0,116.0,26126.0,122.0
665,Moselle,2015,7758.0,2922.0,1113.0,261.0,111.0,6594.0,8299.0,15.0,16.0,214.0,27571.0,267.0
666,Moselle,2016,8626.0,4155.0,1540.0,358.0,184.0,5810.0,8513.0,2.0,2.0,219.0,29480.0,71.0
667,Moselle,2017,8419.0,5226.0,1931.0,649.0,247.0,5151.0,8692.0,2.0,4.0,278.0,30612.0,12.0
668,Moselle,2018,9561.0,6485.0,2036.0,881.0,363.0,3885.0,8402.0,12.0,11.0,335.0,32020.0,48.0
669,Moselle,2019,9767.0,5873.0,2639.0,791.0,556.0,3082.0,8158.0,11.0,14.0,474.0,31498.0,127.0
670,Nièvre,2010,1287.0,281.0,101.0,17.0,2.0,2742.0,2342.0,229.0,2.0,0.0,7006.0,0.0
671,Nièvre,2011,1221.0,302.0,111.0,18.0,4.0,2321.0,2462.0,24.0,1.0,5.0,6474.0,0.0
672,Nièvre,2012,977.0,260.0,79.0,7.0,24.0,2055.0,2195.0,6.0,1.0,5.0,5625.0,14.0
673,Nièvre,2013,1063.0,296.0,72.0,77.0,6.0,1779.0,1723.0,6.0,4.0,15.0,5069.0,28.0
674,Nièvre,2014,1242.0,326.0,73.0,75.0,5.0,1697.0,1685.0,3.0,2.0,12.0,5137.0,17.0
675,Nièvre,2015,1429.0,469.0,121.0,87.0,10.0,1479.0,1545.0,5.0,1.0,26.0,5218.0,46.0
676,Nièvre,2016,1480.0,590.0,184.0,80.0,29.0,1248.0,1553.0,0.0,1.0,42.0,5218.0,11.0
677,Nièvre,2017,1467.0,808.0,208.0,138.0,45.0,1176.0,1407.0,0.0,1.0,41.0,5295.0,4.0
678,Nièvre,2018,1739.0,886.0,217.0,192.0,50.0,931.0,1378.0,0.0,0.0,53.0,5456.0,10.0
679,Nièvre,2019,1852.0,869.0,311.0,155.0,72.0,648.0,1565.0,1.0,1.0,80.0,5583.0,28.0
680,Nord,2010,15674.0,2858.0,1264.0,230.0,94.0,30341.0,30248.0,5507.0,2.0,9.0,86239.0,0.0
681,Nord,2011,15976.0,3623.0,1312.0,383.0,54.0,26867.0,32245.0,871.0,6.0,143.0,81496.0,0.0
682,Nord,2012,13140.0,3406.0,1147.0,146.0,592.0,22260.0,27525.0,130.0,17.0,100.0,68783.0,306.0
683,Nord,2013,14615.0,3587.0,1174.0,1317.0,109.0,20939.0,22866.0,134.0,91.0,243.0,65552.0,463.0
684,Nord,2014,15861.0,3995.0,1213.0,1144.0,123.0,19696.0,20364.0,105.0,84.0,265.0,63100.0,244.0
685,Nord,2015,18675.0,5528.0,1777.0,1128.0,269.0,17991.0,20106.0,83.0,50.0,512.0,66892.0,762.0
686,Nord,2016,20467.0,7672.0,2502.0,1418.0,520.0,15537.0,19916.0,32.0,26.0,639.0,68916.0,178.0
687,Nord,2017,21838.0,10563.0,3144.0,2221.0,817.0,13674.0,20300.0,63.0,80.0,708.0,73469.0,52.0
688,Nord,2018,26717.0,13241.0,3592.0,3000.0,1058.0,10168.0,18590.0,133.0,107.0,855.0,77568.0,84.0
689,Nord,2019,31883.0,14878.0,6216.0,2856.0,1628.0,7883.0,20187.0,118.0,109.0,1304.0,87405.0,333.0
690,Oise,2010,23534.0,6614.0,1286.0,69.0,33.0,51215.0,48480.0,972.0,4.0,0.0,132213.0,0.0
691,Oise,2011,21882.0,6091.0,1849.0,241.0,32.0,45229.0,54534.0,112.0,3.0,279.0,130253.0,0.0
692,Oise,2012,16018.0,3243.0,1706.0,123.0,253.0,46512.0,46814.0,15.0,3.0,29.0,114920.0,202.0
693,Oise,2013,15914.0,3880.0,1008.0,788.0,63.0,37637.0,36438.0,21.0,26.0,68.0,96015.0,169.0
694,Oise,2014,22089.0,4559.0,961.0,1657.0,110.0,39859.0,37490.0,16.0,9.0,107.0,107046.0,189.0
695,Oise,2015,28999.0,6435.0,2134.0,2442.0,69.0,40729.0,40584.0,12.0,7.0,167.0,122605.0,1024.0
696,Oise,2016,36750.0,9772.0,3137.0,2546.0,258.0,34058.0,43950.0,1.0,1.0,231.0,131109.0,404.0
697,Oise,2017,38768.0,14548.0,5333.0,2259.0,613.0,27511.0,46560.0,9.0,3.0,233.0,135860.0,23.0
698,Oise,2018,46114.0,20484.0,6198.0,2461.0,1030.0,16593.0,37060.0,9.0,8.0,449.0,130686.0,278.0
699,Oise,2019,43628.0,28255.0,10173.0,2729.0,2081.0,9534.0,29985.0,10.0,10.0,632.0,127990.0,953.0
700,Orne,2010,1374.0,246.0,118.0,32.0,10.0,3025.0,2915.0,322.0,0.0,0.0,8042.0,0.0
701,Orne,2011,1322.0,322.0,135.0,48.0,4.0,2525.0,3128.0,49.0,0.0,7.0,7540.0,0.0
702,Orne,2012,1056.0,297.0,117.0,13.0,62.0,2115.0,2747.0,4.0,3.0,7.0,6459.0,36.0
703,Orne,2013,1126.0,339.0,148.0,126.0,9.0,2549.0,2140.0,5.0,5.0,30.0,6516.0,39.0
704,Orne,2014,1449.0,337.0,109.0,96.0,12.0,2471.0,1961.0,3.0,3.0,48.0,6518.0,29.0
705,Orne,2015,1836.0,522.0,184.0,105.0,21.0,2022.0,1990.0,0.0,5.0,56.0,6803.0,62.0
706,Orne,2016,1815.0,761.0,250.0,119.0,47.0,1885.0,1993.0,0.0,0.0,87.0,6974.0,17.0
707,Orne,2017,1894.0,1046.0,298.0,221.0,46.0,1692.0,2090.0,4.0,2.0,96.0,7394.0,5.0
708,Orne,2018,2378.0,1275.0,255.0,235.0,72.0,1234.0,1858.0,7.0,2.0,135.0,7460.0,9.0
709,Orne,2019,2306.0,1131.0,399.0,194.0,117.0,969.0,2100.0,0.0,11.0,102.0,7356.0,23.0
710,Paris,2010,9130.0,4265.0,3271.0,387.0,279.0,12648.0,21271.0,721.0,0.0,4.0,51979.0,0.0
711,Paris,2011,9538.0,4352.0,3476.0,642.0,164.0,12955.0,23924.0,163.0,1.0,31.0,55273.0,0.0
712,Paris,2012,7594.0,3450.0,3453.0,176.0,762.0,11725.0,23587.0,10.0,3.0,143.0,51323.0,416.0
713,Paris,2013,8280.0,3659.0,2822.0,1279.0,275.0,11799.0,19872.0,9.0,13.0,660.0,49432.0,763.0
714,Paris,2014,8749.0,4286.0,2952.0,1491.0,362.0,11715.0,17551.0,14.0,9.0,542.0,48149.0,477.0
715,Paris,2015,9884.0,5249.0,4071.0,1848.0,695.0,11957.0,18177.0,5.0,7.0,561.0,53488.0,1027.0
716,Paris,2016,11745.0,7369.0,5331.0,1857.0,1214.0,9999.0,19681.0,0.0,1.0,704.0,58169.0,262.0
717,Paris,2017,9734.0,7482.0,5768.0,2526.0,1706.0,8542.0,16701.0,4.0,10.0,1266.0,53845.0,85.0
718,Paris,2018,8108.0,9520.0,6342.0,2567.0,1961.0,5358.0,15569.0,26.0,10.0,1599.0,51189.0,100.0
719,Paris,2019,11360.0,11789.0,8428.0,2440.0,2978.0,2804.0,12848.0,6.0,16.0,2564.0,55721.0,457.0
720,Pas-de-Calais,2010,8692.0,1511.0,636.0,83.0,34.0,18246.0,17750.0,2468.0,1.0,1.0,49431.0,0.0
721,Pas-de-Calais,2011,8329.0,1826.0,682.0,148.0,12.0,15895.0,18254.0,327.0,2.0,19.0,45514.0,0.0
722,Pas-de-Calais,2012,6982.0,1666.0,622.0,56.0,202.0,12902.0,15956.0,48.0,5.0,46.0,38635.0,142.0
723,Pas-de-Calais,2013,7921.0,1904.0,583.0,370.0,37.0,12070.0,13108.0,45.0,36.0,122.0,36422.0,221.0
724,Pas-de-Calais,2014,8646.0,2045.0,626.0,433.0,50.0,11588.0,11411.0,45.0,43.0,194.0,35241.0,158.0
725,Pas-de-Calais,2015,10536.0,2772.0,974.0,360.0,75.0,9793.0,11117.0,21.0,22.0,264.0,36271.0,337.0
726,Pas-de-Calais,2016,11655.0,4123.0,1390.0,459.0,183.0,8865.0,11362.0,4.0,6.0,338.0,38488.0,100.0
727,Pas-de-Calais,2017,12827.0,5848.0,1557.0,912.0,228.0,7333.0,11149.0,6.0,14.0,358.0,40250.0,17.0
728,Pas-de-Calais,2018,16240.0,7226.0,1763.0,1214.0,350.0,5072.0,10403.0,37.0,29.0,428.0,42818.0,56.0
729,Pas-de-Calais,2019,16261.0,6673.0,2381.0,1042.0,614.0,3834.0,10086.0,32.0,30.0,503.0,41695.0,239.0
730,Puy-de-Dôme,2010,3534.0,818.0,396.0,43.0,29.0,6926.0,6715.0,794.0,3.0,0.0,19259.0,0.0
731,Puy-de-Dôme,2011,3440.0,985.0,390.0,86.0,16.0,6300.0,7521.0,138.0,2.0,9.0,18895.0,0.0
732,Puy-de-Dôme,2012,2980.0,939.0,368.0,20.0,108.0,5013.0,6280.0,32.0,2.0,23.0,15839.0,73.0
733,Puy-de-Dôme,2013,3489.0,1085.0,372.0,235.0,41.0,4838.0,5250.0,19.0,13.0,59.0,15500.0,99.0
734,Puy-de-Dôme,2014,3884.0,1226.0,411.0,198.0,48.0,4766.0,5004.0,13.0,7.0,76.0,15718.0,85.0
735,Puy-de-Dôme,2015,4582.0,1762.0,624.0,163.0,84.0,3977.0,4859.0,11.0,9.0,164.0,16396.0,160.0
736,Puy-de-Dôme,2016,4585.0,2246.0,852.0,220.0,120.0,3442.0,4832.0,2.0,0.0,194.0,16547.0,54.0
737,Puy-de-Dôme,2017,4949.0,3017.0,1060.0,499.0,147.0,2758.0,5206.0,3.0,4.0,199.0,17853.0,11.0
738,Puy-de-Dôme,2018,5726.0,3607.0,1198.0,624.0,218.0,2238.0,4698.0,3.0,7.0,257.0,18598.0,22.0
739,Puy-de-Dôme,2019,5860.0,3390.0,1497.0,512.0,298.0,1751.0,4463.0,7.0,7.0,351.0,18243.0,107.0
740,Pyrénées-Atlantiques,2010,4696.0,1069.0,355.0,73.0,24.0,7793.0,7569.0,876.0,1.0,0.0,22456.0,0.0
741,Pyrénées-Atlantiques,2011,4774.0,1153.0,414.0,131.0,13.0,6906.0,8553.0,135.0,0.0,11.0,22090.0,0.0
742,Pyrénées-Atlantiques,2012,4077.0,1087.0,402.0,43.0,166.0,5760.0,7278.0,18.0,3.0,38.0,18957.0,85.0
743,Pyrénées-Atlantiques,2013,4531.0,1283.0,394.0,422.0,28.0,5377.0,6118.0,21.0,11.0,78.0,18370.0,106.0
744,Pyrénées-Atlantiques,2014,5220.0,1450.0,473.0,438.0,22.0,5709.0,5498.0,7.0,8.0,81.0,18992.0,86.0
745,Pyrénées-Atlantiques,2015,6061.0,2050.0,698.0,498.0,63.0,4673.0,5451.0,15.0,8.0,164.0,19778.0,97.0
746,Pyrénées-Atlantiques,2016,6498.0,2660.0,904.0,504.0,136.0,4150.0,5438.0,0.0,0.0,253.0,20570.0,27.0
747,Pyrénées-Atlantiques,2017,6700.0,3488.0,1082.0,748.0,197.0,3498.0,5294.0,6.0,3.0,222.0,21246.0,8.0
748,Pyrénées-Atlantiques,2018,7806.0,4330.0,1140.0,1020.0,225.0,2307.0,4911.0,7.0,12.0,260.0,22044.0,22.0
749,Pyrénées-Atlantiques,2019,8041.0,3950.0,1669.0,875.0,445.0,1709.0,5050.0,6.0,11.0,361.0,22219.0,102.0
750,Pyrénées-Orientales,2010,3481.0,652.0,240.0,43.0,8.0,5558.0,4088.0,322.0,1.0,0.0,14394.0,0.0
751,Pyrénées-Orientales,2011,3181.0,643.0,262.0,78.0,2.0,5270.0,4803.0,55.0,1.0,12.0,14307.0,0.0
752,Pyrénées-Orientales,2012,2694.0,608.0,246.0,28.0,81.0,4238.0,4161.0,12.0,1.0,23.0,12139.0,45.0
753,Pyrénées-Orientales,2013,2879.0,732.0,198.0,165.0,10.0,3594.0,3199.0,4.0,11.0,32.0,10871.0,47.0
754,Pyrénées-Orientales,2014,3090.0,678.0,214.0,155.0,12.0,3586.0,3137.0,8.0,3.0,51.0,10986.0,52.0
755,Pyrénées-Orientales,2015,3950.0,1052.0,366.0,167.0,33.0,3187.0,3496.0,1.0,3.0,84.0,12402.0,63.0
756,Pyrénées-Orientales,2016,4278.0,1447.0,460.0,201.0,70.0,2833.0,3522.0,1.0,0.0,116.0,12948.0,20.0
757,Pyrénées-Orientales,2017,4788.0,2007.0,581.0,406.0,101.0,3359.0,3707.0,1.0,1.0,124.0,15086.0,9.0
758,Pyrénées-Orientales,2018,5814.0,2465.0,717.0,510.0,151.0,2540.0,3551.0,2.0,3.0,162.0,15931.0,16.0
759,Pyrénées-Orientales,2019,6264.0,2491.0,1010.0,479.0,247.0,1746.0,3496.0,1.0,0.0,241.0,16068.0,93.0
760,Rhône,2010,10940.0,3030.0,1344.0,150.0,65.0,19048.0,21058.0,1930.0,0.0,3.0,57583.0,0.0
761,Rhône,2011,11265.0,3401.0,1521.0,264.0,57.0,17738.0,24121.0,329.0,2.0,60.0,58771.0,0.0
762,Rhône,2012,9214.0,2777.0,1342.0,77.0,360.0,15438.0,20298.0,61.0,9.0,74.0,49976.0,321.0
763,Rhône,2013,10357.0,3221.0,1284.0,770.0,85.0,15195.0,16336.0,49.0,36.0,270.0,48140.0,527.0
764,Rhône,2014,10727.0,3583.0,1277.0,820.0,112.0,14947.0,15891.0,46.0,16.0,413.0,48165.0,332.0
765,Rhône,2015,12600.0,4721.0,1936.0,806.0,279.0,13086.0,15775.0,28.0,17.0,458.0,50281.0,555.0
766,Rhône,2016,13414.0,6266.0,2577.0,854.0,494.0,12679.0,17010.0,3.0,6.0,677.0,54107.0,119.0
767,Rhône,2017,14488.0,8196.0,3102.0,1519.0,607.0,13305.0,19033.0,29.0,20.0,908.0,61280.0,54.0
768,Rhône,2018,15343.0,9732.0,3611.0,1810.0,964.0,9920.0,17892.0,76.0,38.0,999.0,60517.0,123.0
769,Rhône,2019,16603.0,10276.0,5680.0,1671.0,1460.0,6428.0,19842.0,48.0,42.0,1616.0,64149.0,464.0
770,Sarthe,2010,3296.0,963.0,249.0,52.0,12.0,5461.0,5681.0,954.0,0.0,0.0,16670.0,0.0
771,Sarthe,2011,2974.0,764.0,305.0,75.0,6.0,5330.0,6529.0,139.0,0.0,6.0,16128.0,0.0
772,Sarthe,2012,2391.0,721.0,252.0,25.0,122.0,3968.0,5123.0,9.0,3.0,34.0,12691.0,42.0
773,Sarthe,2013,2756.0,804.0,251.0,250.0,17.0,3732.0,4049.0,21.0,19.0,49.0,12008.0,60.0
774,Sarthe,2014,2956.0,983.0,245.0,234.0,19.0,3358.0,3806.0,22.0,7.0,63.0,11737.0,43.0
775,Sarthe,2015,3401.0,1304.0,375.0,213.0,41.0,3049.0,3805.0,6.0,3.0,141.0,12414.0,76.0
776,Sarthe,2016,3848.0,1865.0,558.0,269.0,100.0,2930.0,3745.0,1.0,1.0,145.0,13483.0,21.0
777,Sarthe,2017,3923.0,2415.0,686.0,463.0,111.0,2684.0,3792.0,10.0,2.0,162.0,14251.0,3.0
778,Sarthe,2018,4762.0,2687.0,636.0,592.0,155.0,2009.0,3571.0,18.0,18.0,156.0,14622.0,18.0
779,Sarthe,2019,5228.0,2535.0,940.0,523.0,278.0,1179.0,4022.0,19.0,19.0,231.0,15060.0,84.0
780,Savoie,2010,2867.0,675.0,384.0,54.0,12.0,6035.0,6084.0,511.0,0.0,1.0,16624.0,0.0
781,Savoie,2011,2681.0,781.0,373.0,66.0,11.0,5692.0,6854.0,78.0,3.0,6.0,16546.0,0.0
782,Savoie,2012,2540.0,676.0,367.0,23.0,88.0,4515.0,5851.0,6.0,1.0,17.0,14165.0,80.0
783,Savoie,2013,3031.0,893.0,331.0,207.0,15.0,4000.0,4938.0,3.0,5.0,46.0,13588.0,119.0
784,Savoie,2014,3345.0,1080.0,415.0,201.0,24.0,3859.0,4827.0,10.0,7.0,64.0,13896.0,64.0
785,Savoie,2015,3845.0,1332.0,593.0,149.0,59.0,3148.0,4979.0,14.0,3.0,127.0,14357.0,108.0
786,Savoie,2016,4099.0,1893.0,921.0,239.0,104.0,2729.0,5087.0,1.0,1.0,168.0,15270.0,21.0
787,Savoie,2017,4283.0,2491.0,985.0,425.0,137.0,1955.0,5105.0,3.0,2.0,213.0,15612.0,10.0
788,Savoie,2018,5044.0,3040.0,1261.0,642.0,250.0,1736.0,4930.0,9.0,7.0,234.0,17202.0,48.0
789,Savoie,2019,4752.0,2876.0,1736.0,592.0,326.0,1506.0,4558.0,7.0,7.0,304.0,16818.0,140.0
790,Saône-et-Loire,2010,3453.0,757.0,329.0,35.0,10.0,6122.0,5863.0,708.0,1.0,0.0,17285.0,0.0
791,Saône-et-Loire,2011,3229.0,834.0,323.0,63.0,7.0,5231.0,6469.0,124.0,0.0,5.0,16290.0,0.0
792,Saône-et-Loire,2012,2635.0,848.0,284.0,26.0,86.0,4200.0,5288.0,18.0,1.0,16.0,13476.0,73.0
793,Saône-et-Loire,2013,2844.0,914.0,257.0,182.0,16.0,3799.0,4226.0,14.0,10.0,53.0,12398.0,82.0
794,Saône-et-Loire,2014,3255.0,1012.0,268.0,202.0,18.0,3757.0,4081.0,8.0,6.0,57.0,12722.0,58.0
795,Saône-et-Loire,2015,3853.0,1357.0,338.0,163.0,32.0,3316.0,3932.0,6.0,5.0,93.0,13219.0,122.0
796,Saône-et-Loire,2016,3965.0,1835.0,539.0,211.0,68.0,2786.0,3885.0,3.0,1.0,145.0,13459.0,20.0
797,Saône-et-Loire,2017,4059.0,2435.0,648.0,352.0,97.0,2281.0,3859.0,2.0,3.0,157.0,13901.0,8.0
798,Saône-et-Loire,2018,4424.0,2828.0,651.0,413.0,105.0,1699.0,3764.0,8.0,7.0,149.0,14078.0,30.0
799,Saône-et-Loire,2019,4718.0,2512.0,1018.0,378.0,236.0,1359.0,3818.0,6.0,3.0,249.0,14390.0,93.0
800,Seine-Maritime,2010,13925.0,3613.0,950.0,52.0,34.0,37291.0,33108.0,1187.0,0.0,0.0,90163.0,0.0
801,Seine-Maritime,2011,14471.0,3873.0,1133.0,119.0,36.0,35271.0,36374.0,171.0,2.0,33.0,91486.0,0.0
802,Seine-Maritime,2012,13103.0,2917.0,1103.0,31.0,170.0,35135.0,28740.0,17.0,1.0,74.0,81416.0,122.0
803,Seine-Maritime,2013,13866.0,3174.0,758.0,939.0,26.0,27496.0,22893.0,15.0,23.0,135.0,69522.0,196.0
804,Seine-Maritime,2014,16211.0,3700.0,1026.0,451.0,34.0,27120.0,25800.0,24.0,19.0,212.0,74748.0,150.0
805,Seine-Maritime,2015,19759.0,5158.0,1891.0,1052.0,98.0,25203.0,24104.0,13.0,8.0,394.0,78372.0,690.0
806,Seine-Maritime,2016,21925.0,10442.0,3466.0,1039.0,126.0,23135.0,25966.0,3.0,1.0,494.0,86742.0,144.0
807,Seine-Maritime,2017,25856.0,11309.0,3521.0,1129.0,177.0,18539.0,27190.0,5.0,4.0,517.0,88283.0,33.0
808,Seine-Maritime,2018,28344.0,14492.0,4563.0,1457.0,460.0,13551.0,22998.0,18.0,17.0,546.0,86501.0,55.0
809,Seine-Maritime,2019,32119.0,17704.0,5276.0,2077.0,856.0,7553.0,19794.0,29.0,28.0,774.0,86632.0,417.0
810,Seine-Saint-Denis,2010,5620.0,1367.0,565.0,194.0,36.0,8830.0,10674.0,1011.0,3.0,0.0,28315.0,0.0
811,Seine-Saint-Denis,2011,5498.0,1604.0,610.0,222.0,21.0,8677.0,11407.0,138.0,2.0,11.0,28204.0,0.0
812,Seine-Saint-Denis,2012,4065.0,1275.0,576.0,83.0,316.0,7657.0,9839.0,24.0,2.0,25.0,23987.0,124.0
813,Seine-Saint-Denis,2013,5083.0,1548.0,797.0,749.0,51.0,8110.0,10704.0,33.0,20.0,83.0,27366.0,188.0
814,Seine-Saint-Denis,2014,7127.0,1711.0,959.0,856.0,77.0,8181.0,10966.0,29.0,11.0,121.0,30249.0,211.0
815,Seine-Saint-Denis,2015,7279.0,3052.0,1211.0,960.0,185.0,9231.0,11406.0,10.0,10.0,201.0,33859.0,314.0
816,Seine-Saint-Denis,2016,7997.0,3732.0,1955.0,1029.0,331.0,7459.0,10371.0,1.0,0.0,330.0,33276.0,69.0
817,Seine-Saint-Denis,2017,6546.0,4777.0,1867.0,1386.0,431.0,6856.0,10092.0,3.0,3.0,462.0,32452.0,26.0
818,Seine-Saint-Denis,2018,7390.0,5269.0,2035.0,1504.0,527.0,4467.0,10383.0,12.0,13.0,429.0,32063.0,28.0
819,Seine-Saint-Denis,2019,7326.0,4747.0,2612.0,1373.0,880.0,2384.0,8647.0,7.0,13.0,516.0,28673.0,141.0
820,Seine-et-Marne,2010,8160.0,1966.0,987.0,437.0,109.0,15425.0,16640.0,1934.0,2.0,0.0,45663.0,0.0
821,Seine-et-Marne,2011,8093.0,2183.0,1127.0,430.0,104.0,14312.0,18378.0,316.0,5.0,27.0,44977.0,0.0
822,Seine-et-Marne,2012,6476.0,2063.0,1064.0,133.0,478.0,12212.0,16199.0,23.0,8.0,47.0,38911.0,206.0
823,Seine-et-Marne,2013,7012.0,2467.0,919.0,945.0,114.0,11528.0,12758.0,32.0,36.0,110.0,36209.0,288.0
824,Seine-et-Marne,2014,7659.0,2654.0,1038.0,878.0,150.0,11442.0,11737.0,26.0,14.0,156.0,35964.0,210.0
825,Seine-et-Marne,2015,9737.0,3624.0,1504.0,1028.0,265.0,11099.0,11850.0,16.0,14.0,302.0,39784.0,345.0
826,Seine-et-Marne,2016,10310.0,4836.0,2000.0,1075.0,492.0,9685.0,11336.0,2.0,4.0,418.0,40249.0,85.0
827,Seine-et-Marne,2017,11055.0,6401.0,2497.0,1694.0,614.0,8038.0,11151.0,7.0,6.0,582.0,42083.0,36.0
828,Seine-et-Marne,2018,12966.0,7722.0,2540.0,1989.0,722.0,6532.0,10365.0,15.0,22.0,877.0,43856.0,91.0
829,Seine-et-Marne,2019,12888.0,7623.0,3606.0,1788.0,1218.0,4680.0,9734.0,20.0,26.0,859.0,42742.0,239.0
830,Somme,2010,3549.0,470.0,228.0,38.0,6.0,7841.0,7211.0,554.0,1.0,0.0,19899.0,0.0
831,Somme,2011,3542.0,612.0,226.0,43.0,4.0,8437.0,8659.0,39.0,2.0,6.0,21570.0,0.0
832,Somme,2012,3350.0,655.0,223.0,19.0,73.0,7259.0,7808.0,7.0,1.0,13.0,19471.0,63.0
833,Somme,2013,3738.0,795.0,205.0,172.0,11.0,7730.0,6163.0,13.0,12.0,48.0,18948.0,61.0
834,Somme,2014,5202.0,837.0,224.0,183.0,16.0,8101.0,5618.0,6.0,5.0,40.0,20282.0,50.0
835,Somme,2015,5668.0,1155.0,365.0,203.0,38.0,7772.0,5924.0,9.0,3.0,98.0,21395.0,160.0
836,Somme,2016,6072.0,1864.0,484.0,294.0,77.0,7912.0,6511.0,0.0,0.0,119.0,23368.0,34.0
837,Somme,2017,8443.0,3276.0,658.0,454.0,111.0,6707.0,6997.0,2.0,4.0,107.0,26771.0,12.0
838,Somme,2018,12028.0,6097.0,1016.0,742.0,150.0,4773.0,9300.0,3.0,6.0,145.0,34284.0,24.0
839,Somme,2019,12449.0,6211.0,1991.0,472.0,378.0,4105.0,10986.0,7.0,8.0,237.0,36938.0,91.0
840,Tarn,2010,2173.0,384.0,162.0,32.0,14.0,4547.0,4286.0,535.0,0.0,0.0,12136.0,0.0
841,Tarn,2011,1933.0,439.0,167.0,61.0,2.0,3946.0,4442.0,96.0,2.0,4.0,11092.0,0.0
842,Tarn,2012,1472.0,413.0,146.0,19.0,70.0,3050.0,3853.0,6.0,5.0,7.0,9076.0,35.0
843,Tarn,2013,1850.0,465.0,143.0,83.0,8.0,2982.0,3230.0,12.0,6.0,30.0,8867.0,53.0
844,Tarn,2014,2179.0,560.0,200.0,105.0,6.0,3154.0,3070.0,12.0,4.0,40.0,9373.0,41.0
845,Tarn,2015,2594.0,816.0,280.0,114.0,17.0,2785.0,2997.0,7.0,3.0,86.0,9792.0,93.0
846,Tarn,2016,2664.0,1114.0,334.0,135.0,36.0,2554.0,3000.0,1.0,3.0,131.0,9999.0,27.0
847,Tarn,2017,2920.0,1640.0,438.0,259.0,67.0,2235.0,3049.0,2.0,1.0,169.0,10784.0,4.0
848,Tarn,2018,3492.0,2139.0,505.0,402.0,80.0,1419.0,2813.0,10.0,8.0,177.0,11069.0,23.0
849,Tarn,2019,3446.0,2054.0,713.0,309.0,142.0,1043.0,2587.0,9.0,6.0,247.0,10592.0,36.0
850,Tarn-et-Garonne,2010,1041.0,176.0,77.0,10.0,7.0,2414.0,2186.0,340.0,0.0,0.0,6251.0,0.0
851,Tarn-et-Garonne,2011,1003.0,203.0,83.0,31.0,0.0,2289.0,2357.0,46.0,1.0,1.0,6014.0,0.0
852,Tarn-et-Garonne,2012,814.0,176.0,72.0,10.0,40.0,1874.0,2173.0,5.0,1.0,18.0,5212.0,29.0
