,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
484,Indre-et-Loire,2014,3721.0,1361.0,339.0,302.0,49.0,4356.0,4375.0,17.0,14.0,90.0,14674.0,49.0
485,Indre-et-Loire,2015,4232.0,1676.0,597.0,317.0,85.0,3856.0,4383.0,9.0,16.0,196.0,15482.0,115.0
486,Indre-et-Loire,2016,4683.0,2068.0,789.0,360.0,113.0,3324.0,4498.0,0.0,0.0,209.0,16079.0,33.0
487,Indre-et-Loire,2017,4348.0,2676.0,993.0,497.0,129.0,2658.0,4312.0,3.0,5.0,254.0,15883.0,8.0
488,Indre-et-Loire,2018,5099.0,3297.0,1007.0,663.0,179.0,1967.0,3986.0,13.0,13.0,328.0,16583.0,31.0
489,Indre-et-Loire,2019,5491.0,3086.0,1322.0,534.0,330.0,1485.0,4289.0,13.0,18.0,456.0,17110.0,86.0
490,Isère,2010,7368.0,1692.0,717.0,109.0,37.0,13124.0,13102.0,1765.0,4.0,1.0,37927.0,0.0
491,Isère,2011,7210.0,1841.0,791.0,173.0,29.0,11403.0,14606.0,314.0,11.0,23.0,36413.0,0.0
492,Isère,2012,5939.0,1804.0,696.0,59.0,262.0,9322.0,11909.0,34.0,15.0,44.0,30243.0,149.0
493,Isère,2013,6602.0,2240.0,728.0,462.0,68.0,8764.0,9622.0,44.0,18.0,150.0,28936.0,233.0
494,Isère,2014,7586.0,2467.0,743.0,446.0,102.0,7871.0,8880.0,34.0,25.0,168.0,28515.0,190.0
495,Isère,2015,8883.0,3314.0,1132.0,536.0,148.0,7007.0,9266.0,23.0,14.0,337.0,30999.0,337.0
496,Isère,2016,9605.0,4376.0,1533.0,549.0,262.0,5998.0,9215.0,12.0,7.0,490.0,32126.0,75.0
497,Isère,2017,9999.0,5720.0,1967.0,1099.0,377.0,4709.0,9388.0,14.0,24.0,638.0,33952.0,12.0
498,Isère,2018,11778.0,6637.0,2073.0,1409.0,397.0,3658.0,8626.0,39.0,20.0,640.0,35325.0,44.0
499,Isère,2019,11356.0,6221.0,3080.0,1228.0,640.0,2777.0,8320.0,31.0,30.0,849.0,34706.0,169.0
