,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-01-31,7077.632777742499,5683.645407701201,8020.219131299088,7077.632777742499,7077.632777742499,-169.02899284808072,-169.02899284808072,-169.02899284808072,-169.02899284808072,-169.02899284808072,-169.02899284808072,0.0,0.0,0.0,6908.603784894418
1,2015-02-28,7445.3113675283785,4872.163155263781,7063.432462427239,7445.3113675283785,7445.3113675283785,-1454.5460374579434,-1454.5460374579434,-1454.5460374579434,-1454.5460374579434,-1454.5460374579434,-1454.5460374579434,0.0,0.0,0.0,5990.765330070435
2,2015-03-31,7852.384091934175,7916.450300000811,10108.419102589733,7852.384091934175,7852.384091934175,1185.040638541891,1185.040638541891,1185.040638541891,1185.040638541891,1185.040638541891,1185.040638541891,0.0,0.0,0.0,9037.424730476065
3,2015-04-30,8246.325437767742,7827.84620933165,10103.813488198397,8246.325437767742,8246.325437767742,698.9692016838646,698.9692016838646,698.9692016838646,698.9692016838646,698.9692016838646,698.9692016838646,0.0,0.0,0.0,8945.294639451608
4,2015-05-31,8653.39816179576,8212.677303296692,10417.347300763013,8653.39816179576,8653.39816179576,693.975668167816,693.975668167816,693.975668167816,693.975668167816,693.975668167816,693.975668167816,0.0,0.0,0.0,9347.373829963575
5,2015-06-30,9047.339507469535,7463.052005754732,9755.566370402285,9047.339507469535,9047.339507469535,-386.99719424956083,-386.99719424956083,-386.99719424956083,-386.99719424956083,-386.99719424956083,-386.99719424956083,0.0,0.0,0.0,8660.342313219973
6,2015-07-31,9454.412231332435,8991.836992771056,11304.879035377542,9454.412231332435,9454.412231332435,718.2267663277015,718.2267663277015,718.2267663277015,718.2267663277015,718.2267663277015,718.2267663277015,0.0,0.0,0.0,10172.638997660137
7,2015-08-31,9861.484955368425,8074.799251674636,10306.891101380359,9861.484955368425,9861.484955368425,-676.703851815319,-676.703851815319,-676.703851815319,-676.703851815319,-676.703851815319,-676.703851815319,0.0,0.0,0.0,9184.781103553107
8,2015-09-30,10255.426301209709,9353.857413081801,11632.924782649907,10255.426301209709,10255.426301209709,257.4865302932236,257.4865302932236,257.4865302932236,257.4865302932236,257.4865302932236,257.4865302932236,0.0,0.0,0.0,10512.912831502932
9,2015-10-31,10662.499024989194,8832.525678417769,11156.80186318727,10662.499024989194,10662.499024989194,-706.9339967422021,-706.9339967422021,-706.9339967422021,-706.9339967422021,-706.9339967422021,-706.9339967422021,0.0,0.0,0.0,9955.565028246992
10,2015-11-30,11056.440370300123,9719.634919801923,11978.611385292495,11056.440370300123,11056.440370300123,-120.33489719246431,-120.33489719246431,-120.33489719246431,-120.33489719246431,-120.33489719246431,-120.33489719246431,0.0,0.0,0.0,10936.105473107658
11,2015-12-31,11463.513093788079,9515.594130587222,11731.999019461246,11463.513093788079,11463.513093788079,-846.8351090545013,-846.8351090545013,-846.8351090545013,-846.8351090545013,-846.8351090545013,-846.8351090545013,0.0,0.0,0.0,10616.677984733577
12,2016-01-31,11870.58581771118,10560.725769353488,12886.687334883185,11870.58581771118,11870.58581771118,-137.91328937903003,-137.91328937903003,-137.91328937903003,-137.91328937903003,-137.91328937903003,-137.91328937903003,0.0,0.0,0.0,11732.67252833215
13,2016-02-29,12251.395785252145,11027.565670588412,13276.931593547724,12251.395785252145,12251.395785252145,-124.12140300450841,-124.12140300450841,-124.12140300450841,-124.12140300450841,-124.12140300450841,-124.12140300450841,0.0,0.0,0.0,12127.274382247637
14,2016-03-31,12658.468509466313,11802.49949280934,14070.047363356744,12658.468509466313,12658.468509466313,262.84398725648833,262.84398725648833,262.84398725648833,262.84398725648833,262.84398725648833,262.84398725648833,0.0,0.0,0.0,12921.312496722801
15,2016-04-30,13052.409855480022,12063.437192532634,14325.234298403206,13052.409855480022,13052.409855480022,149.52994218388923,149.52994218388923,149.52994218388923,149.52994218388923,149.52994218388923,149.52994218388923,0.0,0.0,0.0,13201.939797663912
16,2016-05-31,13459.559918889292,12606.87584918481,14938.010591972865,13459.559918889292,13459.559918889292,361.4786434778524,361.4786434778524,361.4786434778524,361.4786434778524,361.4786434778524,361.4786434778524,0.0,0.0,0.0,13821.038562367145
17,2016-06-30,13853.576109285359,13490.28493370755,15617.081699919538,13853.576109285359,13853.576109285359,703.1959624527299,703.1959624527299,703.1959624527299,703.1959624527299,703.1959624527299,703.1959624527299,0.0,0.0,0.0,14556.772071738089
18,2016-07-31,14279.56065332295,13669.4158941532,15891.11087195565,14279.56065332295,14279.56065332295,408.7564135641445,408.7564135641445,408.7564135641445,408.7564135641445,408.7564135641445,408.7564135641445,0.0,0.0,0.0,14688.317066887093
